Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
European Union,22.6235517,22.69515304,22.42628394,22.00309483,21.93770296,22.30907071,22.27112103,22.22272984,22.22738917,22.17473452,22.06581813,22.27122162,22.91141557,23.25411149,
Fragile and conflict affected situations,,,,,,,,,,,,,,,
Finland,26.18537633,25.03908325,23.35885177,23.29813216,23.06186393,23.30393164,23.47659202,24.47064164,24.110735,24.14660529,24.22722062,24.232606,25.2085494,23.86470072,
Fiji,16.9725804,17.41334029,16.72296805,16.33721435,15.01276558,15.17127,16.20268639,15.6940491,15.53731864,15.81866275,17.18899536,16.6732884,15.70713115,14.19213391,
France,17.5945885,17.68000487,17.46843477,17.56999392,17.34161953,17.23644155,16.94335724,16.74830326,16.72528326,16.90700396,16.27265121,16.08772896,16.19809184,18.47019258,
Faroe Islands,14.23571396,14.30281135,14.19396138,13.81341629,15.66818304,16.48553445,15.60074347,17.30649997,17.88793532,19.11334707,20.98884824,19.52491938,17.94678765,19.66991453,
"Micronesia, Fed. Sts.",7.235469572,8.162566463,8.338153826,7.307297525,6.030484428,6.113275653,6.046953846,5.429415042,4.866454082,4.817918782,4.885349462,5.022871795,4.854744186,4.85473913,
Gabon,55.19246281,60.88121046,58.82460162,56.60861688,52.72224165,48.1836273,45.0378509,45.46730899,47.12708562,47.67886409,41.51410133,52.94298165,59.12750183,53.52604262,
United Kingdom,18.58801047,18.32544404,18.30170127,18.62171677,18.22874888,18.09412294,17.59394872,17.80509988,17.90035237,17.75886435,17.41133528,16.73409469,17.24165502,17.50018106,
Georgia,16.87791052,17.68003678,18.84674445,18.03372091,18.1712887,19.7698929,19.12216015,21.26748936,20.90427646,20.0073714,21.07095523,21.06756126,21.32977971,18.87995487,
Ghana,18.01494281,23.86366009,27.13653359,34.08982221,33.89820305,31.1193795,27.69325465,29.95221769,31.17774363,31.10772437,29.87675423,28.40501467,31.47005051,29.45955206,
Gibraltar,,,,,,,,,,,,,,,
Guinea,32.3138373,32.61440056,31.5767583,29.64071392,29.69416485,26.32464161,30.10384329,31.65398693,33.34100143,29.3907987,28.51227427,28.82107123,26.50293007,26.34231361,
"Gambia, The",9.828166236,11.51266032,11.95836884,11.89469631,13.21483428,17.14345306,20.93559296,17.89275502,17.3104258,17.28260083,16.85368539,15.88212315,15.58896953,16.65893213,
Guinea-Bissau,13.74951491,12.2556709,12.04575127,13.15453146,14.6822694,12.92684753,12.02269333,11.7058929,16.37057219,15.6781095,15.8307172,15.14960792,16.02308299,18.77982979,
Equatorial Guinea,74.74456143,78.06487369,77.31150427,72.44925774,70.19094522,59.10058727,52.33025433,56.86222809,57.29508162,52.07541004,45.40541058,50.20179211,56.21099906,46.50380817,
Greece,15.06552779,14.37924098,14.79981911,15.06431528,14.14428257,14.44061439,14.30533599,13.54389389,13.68040764,13.41395724,14.29560219,14.77119778,16.69772345,15.28185351,
Grenada,14.7093297,13.34303667,12.3180286,13.39782952,12.81043786,12.32428898,12.15518956,12.71587675,13.43317702,13.64176034,13.09416053,14.54795551,16.1794239,14.95339195,
Greenland,18.08424492,18.06051859,18.91178514,18.13322723,15.6961946,17.04671163,17.68740706,17.01055293,18.21300677,17.14222827,18.34624939,16.06132551,,,
Guatemala,27.49182654,27.94362123,28.12343712,22.95294843,23.19271653,22.73751094,22.61444112,21.90490978,21.42643238,21.94225744,22.32946337,22.24131336,22.59900165,22.28505604,
Guam,,,,,,,,,,,,,,,
Guyana,24.90272708,26.45387707,26.58774987,25.62806498,24.39212723,24.71873879,29.38292731,26.20709068,26.25976398,28.68931863,38.79608015,50.38958125,67.82064845,,
